Name	Annotation1	Annotation2	Annotation3	Annotation4	Comment	Annotation5	ReqLevel
Gingerbread					Recover a little HP and MP		1
Lost Present					Santa's lost present. Return to Santa Claus to exchange for a present.		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Warrior Badge					Proof of mentoring a fighter		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Treasure Box Key					Key for a mysterious treasure box		1
Key KingsPalace RW					Key to open the right room of Tartarrus castle		1
Key KingsPalace LW					Key to open the left room of Tartarrus castle		1
Key of Purification					Key to open the treasure box on the first floor in Tartarrus castle		1
Key of Ghost					Key to open the treasure box on the second floor in Tartarrus castle		1
Key of Cloud					Key to open the treasure box at the castle tower in Tartarrus castle		1
Key of Treasure Box					Key to open the treasure box in the Tomb of King Nam		1
Key of Ruins 1F		¿ò¸ñ¤§Æ_1F			Key to enter the Tower of Ruins 2F		1
Key of Ruins 2F		¿ò¸ñ¤§Æ_2F			Key to enter the Tower of Ruins 3F		1
Key of Ruins 3F		¿ò¸ñ¤§Æ_3F			Key to enter the Tower of Ruins 4F		1
Key of Ruins 4F		¿ò¸ñ¤§Æ_4F			Key to enter the Tower of Ruins 5F		1
Key of Ruins 5F		¿ò¸ñ¤§Æ_5F			Key to enter the Tower of Ruins 6F		1
Key of Ruins 6F		¿ò¸ñ¤§Æ_6F			Key to enter the Tower of Ruins 7F		1
Key of Ruins 7F		¿ò¸ñ¤§Æ_7F			Key to enter the Tower of Ruins 8F		1
Key of Ruins 8F		¿ò¸ñ¤§Æ_8F			Key to enter the Tower of Ruins 9F		1
Key of Ruins 9F		¿ò¸ñ¤§Æ_9F			Key to enter the Tower of Ruins 10F		1
Key of Ruins 10F		¿ò¸ñ¤§Æ_10F			Key to enter the Tower of Ruins 11F		1
Key of Ruins 11F		¿ò¸ñ¤§Æ_11F			Key to enter the Tower of Ruins 12F		1
Key of Ruins 12F		¿ò¸ñ¤§Æ_12F			Key to enter the Tower of Ruins 13F		1
Key of Ruins 13F		¿ò¸ñ¤§Æ_13F			Key to enter the Tower of Ruins 14F		1
Key of Ruins 14F		¿ò¸ñ¤§Æ_14F			Key to enter the Tower of Ruins 15F		1
Key of Ruins 15F		¿ò¸ñ¤§Æ_15F			Key to enter the Tower of Ruins 16F		1
Key of Ruins 16F		¿ò¸ñ¤§Æ_16F			Key to enter the Tower of Ruins 17F		1
Key of Ruins 17F		¿ò¸ñ¤§Æ_17F			Key to enter the Tower of Ruins 18F		1
Key of Ruins 18F		¿ò¸ñ¤§Æ_18F			Key to enter the Tower of Ruins 19F		1
Key of Ruins 19F		¿ò¸ñ¤§Æ_19F			Key to enter the Tower of Ruins 20F		1
Key of Ruins 20F		¿ò¸ñ¤§Æ_20F			Key to enter the Tower of Ruins 21F		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Wicked Flower Stalk					Cut off at the root, contains a lot of juice		1
Admission Letter	¨C¤é¥ô°È¥Î				Admission letter for Spirit College		1
Photo of Memories	¨C¤é¥ô°È¥Î				Aged photo that is full of memories		1
Offer Letter to Prof	¨C¤é¥ô°È¥Î				Offer letter for a professor at Spirit College		1
Mysterious Big Gift	¨C¤é¥ô°È¥Î				No one knows		1
Fresh Flowers	¨C¤é¥ô°È¥Î				A nice aromatic fragrance comes from these flowers		1
Letter to Conference	¨C¤é¥ô°È¥Î				Invitation letter for conference		1
Letter by President	¨C¤é¥ô°È¥Î				Written letter by the president of Spirit College		1
Audience Award	¨C¤é¥ô°È¥Î				Audience award from the last conference		1
Patent Exchan Letter	¨C¤é¥ô°È¥Î				Contract for patent exchange		1
Contract of Agent	¨C¤é¥ô°È¥Î				Contract for construction agent		1
Spirit Absorbing Gun	¨C¤é¥ô°È¥Î				Gun that absorbs spirits		1
Soul Absorbing Pipe	¨C¤é¥ô°È¥Î				Pipe that can absorb souls		1
Mind Correcting Tool	¨C¤é¥ô°È¥Î				Machine that can change someones thinking		1
Guide Bracelet	¨C¤é¥ô°È¥Î				You will always go where you need to with this bracelet		1
Microwave Medal	¨C¤é¥ô°È¥Î				The medal gets hot sometimes		1
Bleeding Grass	¨C¤é¥ô°È¥Î				This special herb can stop bleeding		1
Anti Diarrhea Pills	¨C¤é¥ô°È¥Î				Quickly relieves symptons of diarrhea		1
Womans Multivitamin	¨C¤é¥ô°È¥Î				Pill for women to quickly recover		1
Nutrition Pill	¨C¤é¥ô°È¥Î				A tasty meal contained in a cooler		1
Silver Key	¨C¤é¥ô°È¥Î				Key made of pure silver		1
Apology Letter	¨C¤é¥ô°È¥Î				Letter that is full of apology		1
Declaration of War	¨C¤é¥ô°È¥Î				An official declaration of war		1
Exchange Diary	¨C¤é¥ô°È¥Î				Diary that explains everyday life		1
Perfume Love Letter	¨C¤é¥ô°È¥Î				A wonderfully scented love letter		1
Pharmacy Handbook	¨C¤é¥ô°È¥Î				Teaches the how-tos of pharmaceuticals		1
Pure White Crystal	¨C¤é¥ô°È¥Î				Cleanses dirt		1
Faith Amethyst	¨C¤é¥ô°È¥Î				Purple Crystal that will make you believe		1
Power Citrine	¨C¤é¥ô°È¥Î				Yellow Crystal that is full of explosive strength		1
Black Crystal	¨C¤é¥ô°È¥Î				Protects from demons		1
Green Seal Crystal	¨C¤é¥ô°È¥Î				Has the power to seal		1
Moon Crystal Chain	¨C¤é¥ô°È¥Î				Crystal chain made from moonlight		1
Black Magic Handbook	¨C¤é¥ô°È¥Î				Handbook that is full of horrible black magic		1
Pearl Heart Powder	¨C¤é¥ô°È¥Î				Powder that can comfort your heart		1
Buddish Bracelet	¨C¤é¥ô°È¥Î				Made of Pheobe wood		1
Gas of Five Poison	¨C¤é¥ô°È¥Î				Gas that is produced by five poisonous insects		1
Letter to Mom	¨C¤é¥ô°È¥Î				A letter that son wrote for his dying mom		1
Belly Bandage	¨C¤é¥ô°È¥Î				Bandage that protects your belly		1
Bow String	¨C¤é¥ô°È¥Î				String that is very tough		1
Necklace Key	¨C¤é¥ô°È¥Î				Key to unlock a necklace		1
Comforting Spell	¨C¤é¥ô°È¥Î				Spell that comforts the mind		1
Counter Cross	¨C¤é¥ô°È¥Î				Cross that can repell evil power		1
Ghost Hammer	¨C¤é¥ô°È¥Î				Hammer that can repell evil power		1
Black Waving Flag	¨C¤é¥ô°È¥Î				Flag that can repell evil power		1
Blue Blood	¨C¤é¥ô°È¥Î				Blood that can repell evil power		1
Mermaid Web	¨C¤é¥ô°È¥Î				Web that can repell evil power		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Bell of Soul Power					Special magic that absorbs a ghost's sublimation		1
Reduction Spell					Distinct spell using a pictorial plaque		1
Flower Touch					Special tool used to pick Heaven Flower		1
Magical Crystal Aura					A magical aura that purifies ghostly beings		1
Sublimation of Ghost					Dark energy among all ghostly kind		1
Pictorial Spell					Spell written by each monsters portrayed magical power		1
Heaven Flower Pollen					Pollen containing monsters ghostly mind		1
Purified Seed					Seed cultured from a purified magical aura		1
Legendary Gods Seal					Is this the Legendary Gods Seal? Common looking, isn't it?		1
Legendary Wand					Is this the Legendary Wand? Looks pretty ordinary		1
Mummy Bone					Cursed bones		1
Vampire Bone					Very rare bone of Dracuel		1
Rotten Bone					Bone enhances magical aura if used by a wounded man		1
Fallen Angel Bone					Bone with a cursed spell to seal minds		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Stolen Ring					Ring stolen from the people living in the Beginning Village		1
Boss' Ring					Proof overthrowing the boss		1
Captain's Ring					Remains of the captain of the research party		1
Engagement Ring					Ring carved with Blijean and Bellcana's name		1
Ring of Wizard					Proof of being a wizard trainer		1
Jade Ring					A very beautiful ring with a green stone. Any woman would go crazy for this ring		1
Crystal Bomb					There is a slight crack on the surface of the crystal which shows a combustion process		1
Igniter					Can be used to detonate the Crystal Bomb		1
Turbo Bomb					Extremely powerful bomb that can annihilate an entire town		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Anti Flatulence Herb					Do not take excessive amounts of this herb or serious injuries can occur.		1
Cocoon Herb					Rare plant necessary to produce essential medicine		1
Leaves of Treasure					The head leaf, above Mr. Leaf		1
Narcissus Herb					Beautiful herb that grows near the river plains, it is said to be quite delicious		1
Leaf of Purple Herb					Purple flowers leaf		1
Magical Sliced Onion					Bulb plant from a scalely looking plant, makes eyes teary		1
Leaf of Poison Bulb					Red juice flows like blood in a vessel in this leaf		1
Medical Herb					Herb purifies and subsides wicked aura		1
Blood Stopping Herb					Medical herb to stop bleeding		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Celebrated Portrait					Portrait of Akubacoff drawn for Opheria		1
Devil Flame Portrait					Flames of Devil portrait, the colors change as if some liquid was poured into the medium		1
Living Portrait					Portrait makes you dizzy or even enough to make you faint but it is recognizable as a portrait of person		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Lost Petal					Used to be a part of a beautiful flower		1
Heavens Bell Flower					Flower sings a melody when the wind blows		1
Beautiful Bouquet					Full of beautiful flowers		1
Lazuline Flower					Flower used for its aroma or to cure ailments		1
Flower of Line Color					Flower with a wondrous healing effect		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Halloween Candy					Common round hard candy, Increases HP		1
Weird HalloweenCandy					Candy with a strange wrapper, smells terrible but can Increase moving speed slightly		1
Skele HalloweenCandy					Candy with a skeleton wrapper, Increases physical defense slightly		1
Clear HalloweenCandy					Soft candy with a question mark wrapper, Increases physical offense slightly		1
Queens Apple Candy					Apple covered with honey and almonds, Increases offense significantly		1
Pumpkin Candy					Pumpkin shaped candy that is delicious, Increases defenses significantly		1
Halloween Rice Candy					Oval orange soft candy that is sweet, Increases HP and MP		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Medical Horn					Horn with medical purposes		1
Horn of Devil Giant					The bone is overgrown and protrudes outside of the body		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Jewel Pin					Lost pin owned by the people in beginning village		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Medical Iodine					Used to disinfect wounds		1
Poison					Red translucent liquid, do mistake this with the antidote		1
Antidote					Red translucent liquid, do mistake this with the poison		1
Medicine of Entaroko					Medicinethat can treat Entrokoff's illness		1
Gathering Ghost Urn					Urn gathers magical auras and purifies		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Fragment of Mirror					Mirror that is said to bring bad luck to the holder		1
Beauty Mirror					Legendary mirror said to reflect only beauty in a person		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
SecretStone Fragment					This fragment has a mysterious power		1
IllusionStoneFragment					This fragment has a mysterious power		1
Rock Ghost Fragment					This fragment has a mysterious power		1
Sealed Stone					Stone with the power to seal		1
Green Stone					Stays cold no matter what the outside temperature is		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Core Stone Mr. Earth					The main part which created Mr. Earth, if this is used to create a brick it will be much stronger		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Mouse Doll					Made of plastic that is squeezable		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Lily Fruit					A fruit that is good for the body but does not have any direct effects		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Stolen Jade Ornament					A magnificent item that a legendary thief stole		1
Yuii's Jade Ornament					Jade ornament that Yurii was wearing		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Roaring Flame Wings					Wings with red grimace		1
Blue Flame Wings					Wings with gleaming blue colors		1
Purple Flame Wings					Wings with gleaming purple colors		1
Cupid Feather					Delicate feathers from Cupid. Unsure what it is for.		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Lost Map					"A treasure map: ""that there is truth, you have my heart."""		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Love Earrings					Earrings Wydle gave to his wife		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Pocket Watch of Time					It is said that you can control time simple by adjusting the hands on the clock		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Guild List					Documented member roster		1
Research Report					Deep cave research report		1
Event Ticket 01					The fun event ticket with 100 points but it was lost without being replaced		1
Scroll					Elle's mischievous words		1
Ragged Parchment					Parts of the parchment have a pattern		1
Beast Seal					Rolled up paper with a seal of a powerful beast		1
Ching Shing Aing Note					Letter Ching Shing Aing wrote		1
Letter of Sung Song					Letter Sung Song self wrote		1
Patrol Squad List					Holy Crater patrol squad list		1
List of Weapons					Checklist of requested weapons for the Holy Crater patrol squad		1
List of Armor					Checklist of requested armor for the Holy Crater patrol squad		1
Tool Request					Checklist of requested tools for the Holy Crater patrol squad		1
Food Request					Checklist of requested food for the Holy Crater patrol squad		1
Admire Scroll					A scroll shows the thankfulness		1
Holy Stone					A beautiful holy stone		1
Holy Power Stone					A beautiful shiny stone		1
Lucky Stone					A stone can bring you good luck		1
Crystal debris					Cristal debris can against the monsters		1
Little Moon Cake					Delicious Moon Cake for Moon Festivel		1
Yuzu					Sweet and sour Yuzu. Fruit for Moon Festivel		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Pouch of Visiting					Used on a journey		1
Logistical Supplies					Required supplies for a quest		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Sealed Magic Spell					Magical spell used to seal a verbal soul		1
Peace Spell					Is able to seal demons with a strong force		1
Expel Spell					Spell written with bizarre characters, used to move an obstacle...		1
Wild Blaze Spell					Spell sealing a strong flame		1
Sealed Spell					Spell used to seal devil power		1
Ogre Curse Spell					Drawn by Lizymin using black dog blood. If the spell is possessed in-hand, you will be protected from monsters		1
Soul of Saint Gem					Satanic soul trapped in a gem		1
Releasing Spell					Spell to which separates a soul from where it is trapped		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Satanic Crystal					Crystal full of a satanic aura, unable to be purified		1
Memory Crystal					There are unknown memories trapped in this gem		1
Mysterious Crystal					It comes from a deep cave, is composed of an unknown material		1
Transparent Crystal					A special crystal with which special methods are required to extract		1
Transparent Crystalline 1					A special product of Purple Crystal Caveand is able to culture magical power stone		1
Transparent Crystalline 2					A special product of Purple Crystal Caveand is able to culture big magical power stone		1
Transparent Crystalline					Stone carried by monsters occupying Purple Crystal Cave. Is able to culture mysterious magical power stone		1
Crystal Sample					A copy of a crystal from Purple Crystal Cave, made with special material		1
Energy Crystal					Naturally translucent crystalline		1
Fire Spirit Crystal					Naturally translucent crystalline		1
Earth Spirit Crystal					Naturally translucent crystalline		1
Water Spirit Crystal					Naturally translucent crystalline		1
Wind Spirit Crystal					Naturally translucent crystalline		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Goblin Metal					Special metal goblins manufacture, made of what?		1
Destruction Metal					Metal containing mysterious power		1
Muzzle							1
Key Fragment							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Tangy Herb					Has a very distinguished smell, you don't want to get close		1
Mountain Soul Herb					One of the herbs used for curry		1
Ice Bug Herb					Comes from Gob, is an ingredient for magical spice		1
Cat Toy					A wooden stick can be tied to the end of an article of clothes to provoke or engage animals		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Wool Yarn					Brand new unused yarn		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Stone Powder					Grinded from a stone, if it comes in contact of eyes one will become blind		1
Eyes of Sand					Accumulated in the eyes, makes them extremely uncomfortable		1
Fairy Dust					Substance taken from a fairy's wings, known to heal wounds		1
Sealed Powder					Taken from a Vampire's bones, possesses evil power		1
Poison Fungus Powder					Ingredient of poison honey,very rare		1
Dissolving Powder					Ingredient of poison honey, comes from Jack the ripper		1
Mind Healing Meds					Aids the mind of any damage		1
silver dust					Contains a mysterious power, dazzled with light		1
Powder of Mandala					Devil Mandala's flower powder		1
Dragon Bone Powder					Refined powder make of dragon bones		1
Rotten Smell Powder					Painting powder with a rotten smell, do not eat		1
Blood Pigment Powder					Contains a smell of blood, if placed in a body it seems to attract flies		1
Welding Flux					Adhesive to weld special metals		1
Resurrection Powder					Powder taken from a piece of Hells portrait		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Cream					Used for cakes		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Boss Crown					Crown made by Beriecheif that gives an infinite blessing		1
Spirit Wave Helmet					Head accessory able to purify those mildly affected by evil		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
Raw Meat					Fresh plump meat but the fat does not look so good		1
Chicken Meat					Nice tender meat used for quite a bit of dishes		1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
							1
