Name	Title	Comment	ChatText1	ChatText2	ChatText3
Trott	Combat Squad Captain	Manas Ice Field   npcu111			
Robell	Combat Squad Vice Captain	Ice CaveB4  npcu110			
Minyu	Combat Squad Pioneer	Ice CaveB4  npcp107			
Ages	Combat Squad Core Soldier	Ice CaveB3  npcp0033			
Taylay	Combat Squad Doctors	Manas Ice Field   npcp109			
Kalgof	Weaponist	San Joel  npcu141			
Runo	Senior	San Joel  npco114			
Moreno	Senior	San Joel  npco114			
Koya	Eastern Server	Hira Castle 2F  npcu133			
Badi	Northern Chief	Thunder Hill  npcu0077			
Romianita	Mysteious Girl	Ice CaveB2 npcu0041			
Meowtan		Saint Field  NPCE0103	Would you like to mark this spot as Home?	Would you like to mark this spot as Home?	
Meowtan		Aired Field  NPCE0103	Would you like to mark this spot as Home?	Would you like to mark this spot as Home?	
No Floating	Educated United Priest	Holy Crater npcf0053			
Swan	Educated United Priest	Thunder Hill npco0017			
Snow Voice	Educated United Priest	San Joel npcp0003			
Relationship	Educated United Priest	oasis npcu191			
Mongtu	Educated United Priest	Holy Crater npcu200			
Careful Happiness	Educated United Priest	Thunder Hill npcu202			
New Wing	Educated United Priest	San Joel npcu183			
Wise Praise	Educated United Priest	oasis npcu0088			
Tamia	Spirit School Researcher	Underworld Castle Keep npcu172			
Ulav	Spirit School Researcher	Underworld Castle Keep npcu170			
Oreno	Spirit School Researcher	Underworld Castle Keep npcu202			
Alex	Giant Tower Investigation Team	Spiritual Land npcp0039			
Fenix	Giant Tower Investigation Team	Spiritual Land NPCP0014			
Light	Mysterious Man	Tower of Ruins NPCU0063			
Sherry	Sheriff	npcp0078 Beginner's Village	If we want to defeat the monsters, we have to capture their boss.		
Sherry	Sheriff	npcp0078 Meteor Pit	If we want to defeat the monsters, we have to capture their boss.		
Sherry	Sheriff	npcp0078 Thunder Hill	If we want to defeat the monsters, we have to capture their boss.		
Sherry	Sheriff	npcp0078 San Joel	If we want to defeat the monsters, we have to capture their boss.		
Sherry	Sheriff	npcp0078 Mirage Oasis	If we want to defeat the monsters, we have to capture their boss.		
Sherry	Sheriff	npcp0078 Bright Shadow Summer vacation			
Sherry	Sheriff	npcp0078 Beginner's Village	Do you want an Evo Weapon? Come to me!		
Alice	Sheriff Assistant	npcp0078 Meteor Pit	Do you want an Evo Weapon? Come to me!		
Alice	Sheriff Assistant	npcp0078 Thunder Hill	Do you want an Evo Weapon? Come to me!		
Alice	Sheriff Assistant	npcp0078 San Joel	Do you want an Evo Weapon? Come to me!		
Alice	Sheriff Assistant	npcp0078 Mirage Oasis	Do you want an Evo Weapon? Come to me!		
Kikibiassa	Basic Instructor	Beginner's Village  NPCP0006			
Ranbiassa	Basic Instructor	Beginner's Village  NPCP0005			
Yukibiassa	Basic Instructor	Beginner's Village  NPCP0004			
Rumile	Character Instructor	Beginner's Village  NPCP0003			
Amile	Middle Instructor	Beginner's Village  NPCP0008			
Gemba	Elder	Beginner's Village  NPCO0017			
Kite	Battle Instructor	Trial Field NPCU0026			
Silspear	Battle Instructor	Trial Field NPCU0028			
Jilydug	Guard	Trial Cave NPCO0047			
Muba		Beginner's Village  NPCO0017			
Belchif	Blacksmith Studen	Meteor Pit  NPCC0049			
Alchokov		Meteor Pit NPCF0051			
Catalina		Meteor Pit NPCU0050			
Ariona		Meteor Pit NPCO0054			
Brodosky	Doctor	Meteor Pit NPCO0055			
Elena		Meteor Pit NPCC0048			
Rogosky		Meteor Pit NPCF0061			
Nina		Meteor Pit NPCU0060			
Henry	Ghost Buster Major	Meteor Pit NPCU0062			
Abdu	Recruiter	Thunder Hill NPCU0037			
Sonsi	Magic Tool Store Boss	Thunder Hill NPCU0031			
Shuman	Tool Store Boss	Thunder Hill NPCO0027			
Dalifon	Decoration Store Boss	Thunder Hill NPCF0046			
Chezla	Guild	Thunder Hill NPCP0034			
Anthony	Council Guard	Thunder Hill NPCU0064			
Diba		Thunder Hill NPCO0055			
Dugga	Archeologist	Spiritual Land NPCP0028			
Tomyman	Tool Store Boss	Meteor Pit NPCO0047			
Marthon	Weapon Store Boss	Meteor Pit NPCU0018			
Drasky	Blacksmith Shop Boss	Meteor Pit NPCF0019			
Yuifon	Decoration Store Boss	Meteor Pit NPCP0014			
Konelly		Meteor Pit NPCP0033			
Arron		Meteor Pit NPCO0047			
Von	Cook	Thunder Hill NPCF0051			
Celine	Priest	Meteor Pit NPCU0045			
Richard	Air Force Captain	Aired Field NPCU0063			
Inias	Patrol	Fujin's Field NPCU0062			
Kakukou	Prophet	Fujin's Field  NPCO0124	Entry to Lost Cave is prohibited.	Entry to Lost Cave is prohibited.	
Oumou	Prophet	Wizard's Cave NPCF0051	Wizard's cave is the Magician's place	Wizard's cave is the Magician's place	
Admoff	Scholar	Spiritual Church BF1 NPCO0114	Spiritual Church is a sacred place, please remain silent.	Spiritual Church is a sacred place, please remain silent.	
Catlina	Researcher	Fujin's Field  NPCO0115	Deep parts of the Deep Lab is dangerous. Don't take it lightly.	Deep parts of the Deep Lab is dangerous. Don't take it lightly.	
Deric	Spirit School Admission Manager	pub			
Rogers	Spirit School Administration Manager	pub			
Rosemary	Spirit School Admission Secretary	pub			
Spike	Spirit School Professor	holy spirit church			
Olis	Spirit School Professor	holy spirit church			
Small Wing	Spirit School Administration Staff	Holy Crater			
Dannie	Spirit School Administration Staff	Holy Crater			
Flower Like	Spirit School Examiner	Holy Meteor Plateau			
Jade Like	Holy Crater Resident	BS zone			
Lopel	Holy Crater Resident	holy plateau			
Monica Chen	Spirit School Pharmacy Professor	holy plateau			
Lady Laura	Holy Crater Resident	Holy Crater			
Carzmire	Holy Crater Resident	Holy Meteor Plateau			
Kamona	Service Manager	work shop			
Ebar	Service Vice Manager	work shop			
Terisa	Service Assistant Manager	work shop			
Carman	Public Relation Manager	Holy Crater			
Nira	Public Relation Vice Manager	Holy Crater			
Liz	Pubic Relation Assistant Manager	Thunder Hill			
Sparrow Feather		Holy Crater			
Arkin		Holy Crater			
Trinnie	Post Service Manager	Holy Crater			
Micel	Decoration Vice Manager	Stone Temple Plateau			
Madison	Last Year New Scientist Award Winner	Flying Bird Plateau			
Albert	This Year New Scientist Award Winner	ghost fire plateau			
Eve	Postman	holy meteor bay			
Tricy	Postman	Thunder Hill			
Criff	Trophy Maker	Stone Temple Plateau			
Dior	Lawyer	Flying Bird Plateau			
Warri	Decoration Manager	secret lake island			
Lunbas Professor	Spirit Battle Major	spirit school			
Pretty TA	Spirit Battle Soldier	spirit school			
Tori	Spirit Battle Gatherer	spirit school			
Lolita					
Sabastain					
Nukuwa	Spirit Battle Volunteer	spirit school gate			
Nikov Professor	Spirit Battle Soldier	San Joel			
Sofri	Spirit Battle Soldier	Silver Snowbone			
Sand Rain					
Sanchez	Spirit Battle Soldier	seashell dock			
Molo	Spirit Battle Volunteer	Silver Snowbone			
Mambo	Spirit Battle Volunteer	Arctic Mirror			
Romeo					
Fifer	Spirit Battle Volunteer	City of Morality			
Magavin	Spirit Battle Volunteer	San Joel (ǡgate)			
Martial Arts	Earth Law Server	Beginner's Village NPC, Please find the five elements' properties.	Think aloud, what a coincidence my name is.	Is my mother a prophet since she knew I am studying zodiacs?	Life is funny, ha.
Luna	Earth Law Server Maid	Thunder HillNPC, Please find the five elements' properties.	The Martial Arts teacher finally comes out for a walk.	He used to read all day, I am worried about his eyes.	
Vico	Earth Law Server Maid	Holy Crater NPC, Please find the five elements' properties.	I don't like Meteor Pit's atmosphere.	If the Martial Arts teacher asked me, I would do it.	
Miro	Spirit School Researcher	trail field, task NPC	Why do I always fail in the tests?	I might be a researcher all my life.	Recipes are awesome! I'll teach you all about them!
		nameless hill, task NPC			
		nameless hill, task NPC			
		nameless hill, task NPC			
		nameless hill, task NPC			
		nameless hill, task NPC			
		decorative hill			
Erik	Villager	Saint Bay npco0124	A soul that is trapped in a stone. A soul that is trapped in a stone.	
Pirad	Village Chief	Saint Bay npco0055			
Rasael	Vampire	Ice Cave npcu0110	It's been a long time since I've met someone. Listen to my story! It's been a long time since I've met someone. Listen to my story!	
Widle	Senior Sailor	Shell Pier npco0035			
Rikian	Resident	Star Pier npco0205			
Roman	Vampire Hunter	Deep Lab BF1 npcu0141			
Lolomy	Crying Girl	Death Valley	I haven't drank water for 3 days already! Help!	I haven't drank water for 3 days already! Help!	
Blaon	Traveler	Underworld Castle B1npcp0127			
Shuraton	Underworld Lord	Underworld Castle B3npcu0120			
					
					
					
					
					
					
					
					
Arthon	Security Force Leader	Meteor Pit NPCU0020	Hey! Would you like to join the Security Team?	We fight with monsters every day.	Let's defeat the monsters together!
Roza	Night Star	Thunder Hill NPCU0007	Day and night can never understand each other's beauty.	The new direction is the heart's direction. Where the heart points is the new ideal.	Papabonpapabonpa
Susan	Sad Old Lady	Thunder Hill NPCO0002	There is no parent that does not worry about their child.	My child is always important to me, even when they have grown.	I worry about that happy-go-lucky personality.
Cham	Spirit Chaser	Saint Field NPCP0032	I will one day become successful and go back home!	30% fate, 70% effort. If you don't try, you won't succeed.	Challenge during your youth! Sprint without any fear.
Akbakov	Blacksmith Researcher	Meteor Pit NPCP0025	Why is it so hard to find the things master wants to use.	Research is my job, but my real job is a janitor!	I hate that I have so much things to learn!
Adrokov	Blacksmith Student	Meteor Pit NPCC0057			
Sophina	Gold Maker	Weapon Shop NPCU0060	Tools here does not suit my needs.	The portable tools are not good for experiments.	Err...
Emily	Gold Maker	Soul Lab NPCU0202	Sophina is always doing hard work. When is the spirit stone going to be ready?	I want to be a scientist just like Lutran.
Bamian	Motel Chef	Mirage Oasis  NPCU120	Fire fruits? Fire Fruits?	You need Fire Fruits for good dishes	The illusionary state is so great!
Cortny	Motel Lady Chef	Mirage Oasis  NPCU122			
George	Botanist	Mirage Oasis  NPCU131	Plant Book: Milk is sweet. Plant Book: 37 items cannot be exchanged for money. Plant Book: Wheat, Cotton, and Buckwheat noodles are the originators.
Trian	Botanist	Mirage Oasis  NPCU133	Items are divided in 5 levels: Extreme, Unique, Spirit, Assist, and Meal. Changes are divided in 5 types: Point, Event, Turn, Proceed, and Strenghten. Our family kept the tradition for a long time.
Size	Antique Evaluationist	Mirage Oasis  NPCU0064	The Seal enscribed by Steel Bullet... Do you want to join our business team?	To get the mineral rocks in the maze.
Anz	Antique Receptionist	Mirage Oasis  NPCP0189			
Briton	Sand Fountain Antique Captain	Heaven Shrine NPCU0140	Even if I lost my dream, we used to think about the future together. There is a reason for the days we were together.
Mirai	Sand Fountain Antique Vice Captain	Heaven Shrine NPCU0141	If you lost the way for someone, you'll probably see a sad dream. However if you go forward, fortunately..
					
					
					
Tima	Inventer	Meteor Pit NPCO0055	The milk that put a lot of feeling tastes great. Do you want a part time job?	Selling milk is my hobby, research and invention are my real jobs
Macmaster	Explorer	Meteor Pit NPCU0021	Do you want to hear my adventure story?	I travelled around the world once,	If I write about my experience 10 books aren't enough!
Ofilia	Woman	Meteor Pit NPCU0012	Don't be fascinated by my beauty.	My husband is not coming home, I'm worried...	
Wiyu	Young Girl	Meteor Pit NPCP0013	You're a naughty person!	I'm good at cooking!	
Entarokov		Meteor Pit NPCU0022	I'm busy right now!	Where is that?	
Roarin	Artist	Meteor Pit NPCU0026	Pain will go away, beauty is all that will remain.	I paid to get a position in the art field, but I have nothing at the end.	What's talent?
Hikaro	Salesman	Meteor Pit NPCU0069	True hero already died at the battle field. Those who return and receive honor are not true heroes.	How much should I expand scale, position, and my heart?	I don't know success but I know what is to live.
Nikita	Old Lady Gardener	Meteor Pit NPCO0054	Conversation between flowers can make a special strong power.		
Karorian	Explorer	Meteor Pit NPCP0028	True success brings only glory but true failure brings courage and strength.	What we fear is ourselves that are being afraid.	I want to go around the world with my own legs.
Kaiyu	Young Boy	Meteor Pit NPCC0040	One day, I will explore all the places!	I can't let you worry about me anymore.	I need to cure it quickly.
Johns	Combat Team Division Captain	Plague Dungeon BF1 NPCU0028	Monsters here are tough, watch out!	What going on with Marcy?	Is Corpse Church like this too?
Gerute	Combat Team Vice Captain	Corpse Church BF1 NPCU0026	That was close, we have to inform captain!	Sorith, come back!	What's going on with captain?
Sorith	Combat Pioneer Soldier	Corpse Church BF2 NPCP0033	This is tiresome, I want to go home early.	Let's get the mission finished.	
Marcy	Combat Core Soldier	Plague Dungeon BF2 NPCU0037	Come on monsters!	As long as I'm here, I won't let those monsters be arrogant!	
Fity	Combat Doctors	Plague Dungeon BF1 NPCU0010	Safety first. Watch out!	Don't push too much.	/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
Kamyu	Grand Commander	Meteor Pit outside the sanctuary NPCU0031	I want to save the world!	The future is based on our efforts!	I'd rather go fishing!
Yuty	Patrol Vice Head Captain	Meteor Pit outside the sanctuary NPCU0037	Welcome to Meteor Pit's security team	Do you want to try joining the team?	It's a work that is worthwhile!
Fiya	Patrol Medical Captain	Spiritual Land NPCU0007	Backside support is essential for the mission.	Monsters are becoming brutal!	
					
Ulay	Young Girl	Thunder Hill NPCP0008	There's no one who can use blades better than me.	If there's a chance I would like to see the legendary Sword of Seven Stars!	
Roruth	Treasure Hunter	San Joel npcu0068	I'll collect all the treasures in the world!	I'll collect all the treasures in the world!	
Kaltaruth	Monster Hunter	San Joel npcu0062	I will challenge the strongest monster in the world!	I will challenge the strongest monster in the world!	
					
					
					
Iche	Western Server	Thunder Plain  NPCU0026	We will go rescue our member!	We will go rescue our member!	
Rubion	Western Server	Thunder Plain  NPCU0028	There's a mystic power in the things monsters have.	There's a mystic power in the things monsters have.	
Linda	Western Server	Thunder Plain  NPCU0012	The Ruined Mansion has a secret not known to people!	The Ruined Mansion has a secret not known to people!	
Ikov	Mine Stone Collector	Ice CaveB1  npcu170	I will build the Mineral Museum!	I will build the Mineral Museum!	
Otoll	Server	Ice CaveB1  npcp0044	Why aren't you buying a carriage? I'm really tired!	Why aren't you buying a carriage? I'm really tired!	
Sky	Battlefield Professional Soldier	Ice CaveB2  npcu201	There must be some secret!	There must be some secret!	
Dean	Patrol Backup Team Captain	Patrol Backup Team Captain npco0068			
Chongshi	Patrol Backup Team Member	holy spirit grand church (east)npcu0020			
Menayore	Patrol Backup Team Member	holy spirit grand church (south)npcu0007			
Dickson	Patrol Backup Team Member	Holy spirit grand church (west)npcu0020			
Wanka	Patrol Backup Team Member	Holy spirit grand church (north)npcu0021			
Mayor	Patrol Backup Team Captain	Holy Crater _ field next to pond npcu0065			
Lica	Patrol Backup Team Member	Holy Crater _ field next to pond npcu0063			
Miro	Patrol Backup Team Member	Holy Crater _ field next to pond npcp0199			
Liwa	Patrol Backup Team Member	Holy Crater _ field next to pond npcp0178			
Yasha	Patrol Backup Team Member	Holy Crater _ field next to pond npcp198			
Rotney	Patrol Backup Team	Holy Crater npco0124			
Kager	Fifth Squad Pioneer Soldier	Holy Crater npcp0038			
Geeze	Fifth Squad Core Soldier	holy meteor npcp0036			
Arsa	Holy Crater Villager	BS zone npcp0033			
Dori	Holy Crater Villager	holy plateau npcp0025			
Kigaro	Holy Crater Villager	holy plateau npcp0009			
Silence	Fifth Squad Doctors	Holy Crater npcp0013			
Yamir	Fifth Squad Volunteer	holy meteor npcp0008			
Rugo	Fifth Squad Volunteer	Thunder Hill npcp188			
Kiya	Fifth Squad Volunteer	Flying Bird Plateau npcp0179			
Fayhong	Fifth Squad Volunteer	Stone Temple Plateau npcp177			
Yoru	Holy Crater Villager	Holy Crater npcp0128			
Kia	Holy Crater Villager	Stone Temple Plateau npcp0033			
Lance	Holy Crater Villager	Flying Bird Plateau npcp0167			
Kalyn	Twelveth Squad Volunteer	ghost fire plateau npcp136			
Eva	Twelveth Squad Volunteer	holy meteor bay npcp117			
Monterey	Twelveth Squad Volunteer	Thunder Hill npcp0038			
Alu	Twelveth Squad Volunteer	Stone Temple Plateau npcp0059			
Yiwoo	Holy Crater Villager	Flying Bird Plateau npcp0036			
Shirley	Holy Crater Villager	secret lake island npcp0014			
Dundie	Holy Core Guard Team Captain	holy core grand church npcu0068			
Huelong	Holy Core Guard Team Member	holy core grand church npcu0074			
Monko	Holy Core Guard Team Member	holy core grand church npcu0067			
Shank	Holy Core Guard Team Member	holy core grand church npcu0084			
Johanwon	Holy Core Guard Team Member	holy core grand church npcu0069			
Johi	Holy Core Knight	San Joel npcu0122			
Shaman	Holy Core Knight	San Joel npcu0133			
Sekin	Holy Core Knight	Silver Snow Bone npco0068			
Lykin	Holy Core Knight	Arctic Mirror npco0068			
Shubert	San Joel Resident	seashell dock npco0184			
Tosh	San Joel Resident	Silver Snow Bone npcu170			
Yosh	San Joel Resident	Arctic Mirror npcu172			
Yinkin	San Joel Resident	city of moral openning npcu0173			
Shankin	Holy Core Knight	city of moral openning npcu143			
Yoha	Holy Core Knight	San Joel npcu0122			
					
					
					
Simath	Ghost Cutter	Saint Bay npcu0121	Cutting is a type of art!	See, this cut is beautiful!	Kekekek....
Sold	Ghost Ripper	Saint Bay npcf0046	It's important to cut large.	It needs to be a perfect force in order to cut perfectly in half.	Hehehe...
Rokind	Salesman Whose Ship Is Trapped	Ghost Land npcf0053	How's the cargo ship? We may not meet the delivery date...	Is there someone who can find special items?	What should we do? What should we do?
Taltan	Runaway Soldier	Ghost Land npco0047	My hometown... I can't return when I run from the battle field!	I at least need to leave some evidence that my comrades fought well.	One day we can die at the battle field together,  at least..
Antoll	Coward Giant Challenger	Tasla Field  npcf0061	Um... I lied...	I need to fix this habit.	Oh I have to go to that Giant? No way!
Bild	Monster Material Collector	Tasla Field  npcp107	Why is the manager using these things as materials?	I want to go home.	It's hard! It's hard! I can't handle it...
Flean	Monster Knight Challenger	Manas Ice Field  npcu0063	How can I improve my martial art skills?	I need to find a good master.	There was a flaw in my battle strategy, which means I need more training.
Fori	Innovative Desert Chef	Manas Ice Field  npcf0051	It's cold! If I feel that, I want to eat warm food. In a hot place I would want to eat cold food.	World of sweet is deep.	Children will be happy if I can make cold sweets during the hot summer
Willy	Ghost Tailor	Mort Snowfield npco0125	The point is to not be awkward when putting limbs of different organisms together.	We need more limbs.	Hehehe...
Lakmi	Magical Medicine Collector	Mort Snowfield npcu0123	The supply for medicine I ordered has not come yet. How long should I wait?	Devil's Mandara Soup, Devil's Onion, Wicked Flower Stem,... anything else?	New medicine has been made! Can someone try it?
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Flower Dew		rolling thunder cave			
Fire Cloud		rolling thunder cave			
Floating Cloud		rolling thunder cave			
Pure Dew		rolling thunder cave			
Hot Sun		rolling thunder cave			
Nature Spirit's Nest		Holy Meteor Plateau			
Fire Flame		Thunder Hill			
Dawn		Holy Meteor Plateau			
Earth Mountain		BS zone			
Forest Wood		holy plateau			
River Water		holy plateau			
Brook Sound		Thunder Hill			
Sun Light		Holy Meteor Plateau			
Feather Flower	Human Server	thunder altar			
Smashed Snow	Human Server's Assistant	thunder altar			
Catkin	Human Server's Assistant	thunder altar			
Mountain Coral		Thunder Hill			
Foggy Maple		Thunder Hill			
Tiny Rain	Blues Prophet	Holy Crater			
Shining Leaf		Thunder Hill			
Moon Hook		Thunder Hill			
Rainbow Neon	Thunder Hill Villager	Thunder Hill			
Sun Grass	Crow Prophet	Stone Temple Plateau			
Sweet Fog	Innocent Prophet	Flying Bird Plateau			
Longly Shadow	Warm Sun Prophet	ghost fire plateau			
Semi Valley	Tea Rice Prophet	holy meteor bay			
Heaven Capital	Human Server's Volunteer Assistant	Thunder Hill			
Batier	Happy Blacksmith	Stone Temple Plateau			
Thousand Colors	Earth Server	Flying Bird Plateau			
Windflower	Spirit School Clerk	Secret Lake Isle			
Brave Sky	Reserve Captain	San Joel			
Clear Ice	Backup Army Recruiter	San Joel			
Pure Jade	Backup Army Recruiter	San Joel			
Fire Antelope					
Snow Sea					
Lucia	Applicant Clerk	Spirit School gate			
Fairy Beauty	Reserve Applicant	San Joel			
Origin	Reserve Applicant	Silver Snow Bone			
Clarity					
River Source	Reserve Applicant	Seashell Dock			
Rice Lake	Adventurer	Silver Snow Bone			
Screamer	Reserve Soldier	Arctic Mirror			
Jade Wheel					
Begonia	Reserve Soldier	City of Morality			
Bamboo Granny	Reserve Soldier	San Joel(castle gate)			
Dizzy Light	Council Major	Thunder Hill			
Grass Gnome	Council Guard	Thunder Hill			
Flame Tamer	Council Guard	Thunder Hill			
Horse Runner		Thunder Hill			
Power Shine		Thunder Hill			
Dosa	Hybrid	Holy Crater			
Pierce		Thunder Hill			
Iwoda		Thunder Hill			
Sandra	Lonely Soul	Thunder Hill			
Wolf Core	Hybrid	Stone Temple Plateau			
Casabranca	Hybrid	Flying Bird Plateau			
Little Spirit	Hybrid	Ghost Fire Plateau			
Evil Heart	Hybrid	Holy Meteor Bay			
Sick Ghost Boy		Thunder Hill			
Sad Sarin		Stone Temple Plateau			
Suffering Wolfman		Flying Bird Plateau			
Anxious Spirit		Secret Lake Isle			
Cocomi		Silver Snow Bone			
Hylonso		Silver Snow Bone			
Baffen		Silver Snow Bone			
Ahina					
Sky Fortune					
Terru		Spirit School gate			
Limoi		San Joel			
Mayo		Silver Snow Bone			
Mr. Groove					
Bjorl		Seashell Dock			
Wedding Priest		Silver Snow Bone			
Royin		Arctic Mirror			
Sinnia					
Wawi		City of Morality			
Honey		San Joel(castle gate)			
Wadile	Snowman Explorer	Amethyst Cave North Side	There's nothing more surprising since we found the Snowman last time.	There's a lot of monsters in this cave, and they all seem to have a treasure with them.	Let's put some mark along our path so we don't get lost in the cave!
Tanshue	Speed Challenger	Amethyst Cave South Side	Does anyone have a spare Millennium Spiritual Crystal?	No matter how many monsters I vanquish, it's only practice.	Is there a shoe that can help me run faster?
Orthy	Silent Iceman	Sacred Hilltop	&^%#$^%#)	
Chaewa	Fencing Champ	Sacred Hilltop	Uhh...	Perhaps my Orthy is like this forever?	Does anyone know how to break the spell on Orthy?
Meshnalt	Tough Explorer	Waterfall Tunnel North Side	I don't want to spend my life looking like a kid!	I will have justice!	I'm lonely... My friends are all gone.
Karistner	Lil' Skater Girl	Waterfall Tunnel South	I want to skate~	Weird. It wasn't hot like this before.	I'm soaked and cold. Horrible cave!
Dai	Sun	Death Valley	The honorable sun~ This is the origin of all!	Someone stole goods from the sanctuary!	I will bring light to the valley like a radiant flame scatters darkness!
Bachelor		Prophet Council	Not starting yet	What will our elders say?	
Bachelor		Prophet Council	When is it going to start?	I'm tired of waiting!	
Elder		Prophet Council	What should I say to the bachelors?	Do you recall?	
Elder		Prophet Council	That was so sudden...	Sigh...	
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Woetoto	Voodoo Priest	Cursed Cave			
Semi Mellon	Evil Priest	Cursed Cave			
Kermaka	Magic Cult Member	Cursed Cave			
Bora	Wolf Cub	Cursed Cave			
Tykuna	Bear Cub	Cursed Cave			
Shudewa	Temple Demon Expert	Thunder Hill			
Kuma	Light Demon Expert	Thunder Hill			
Akuma	Demon Beast Expert	Holy Meteor Plateau			
Origon	Insect Expert	Umbra Zone			
Mora		Holy Plateau			
Zoe	Black Demon Advisor	Holy Plateau			
Sokamihi		Thunder Hill			
Rogernimo		Holy Meteor Plateau			
Pia	Seal Tower Investigation Team	Seal Tower NPCP0014			
Austin	Investigator	Quest NPCU0026	Someone...	Someone... Please help!	
Susion	Seal Tower Investigation Team	Quest NPCO0047			
		Quest NPCE0095 Treasure Box1			
		Quest NPCE0095 Treasure Box2			
		Quest NPCE0095 Treasure Box3			
		Quest NPCE0097 Crystal1			
		Quest NPCE0097 Crystal2			
		Quest NPCE0097 Crystal3			
Meowgel	Quest	Quest  npce0102	Would you like to take a quest?	Would you like to take a quest?	
Janikov		Quest NPCF0046			
Yalemer		Quest NPCF0051			
Purified Box		Exit Underworld Castle Locked Room npce0095			
Spirit Washing Box		Exit Underworld Castle Locked Room npce0095			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Mijo	Mi's Family	Seal Tower NPCF0051			
Mirya	Mi's Family	Seal Tower NPCC0049			
Mijin	Mi's Family	Seal Tower NPCC0043			
Secret Platform		Tower npce0147			
Imperial Guard Platform		Tower npce0147			
Skull		Sacred Hilltop SouthSouthEast npce0160			
Princess' Bone		Individual npce0160			
Saba Girl		Racing Car Test NPC			
Cloud Box		Exit Underworld Castle Locked Room npce0095			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Lkd Rm Entrance		Enter Underworld Castle Locked Room npce0147			
Warning Board01		Individual Quest NPCA0001			
Notice Board01		Individual Quest NPCA0002			
Notice Board02		Individual Quest NPCA0003			
Notice Board03		Individual Quest NPCA0004			
Notice Board04		Individual Quest NPCA0005			
Notice Board05		Individual Quest NPCA0006			
Girl	Weeping Girl	Individual Quest NPCA0007			
Warning Board06		Individual Quest NPCA0008			
Paboya		Individual Quest NPCA0009			
Paboya's Old Brother		Individual Quest NPCA0010			
Paboya's Young Brother		Individual Quest NPCA0011			
Mysterious Book		Individual Quest NPCA0012	No one has come here in years!	Do you want the treasure?	I could talk!? I didn't know...
		Individual Quest NPCA0013 Mark			
		Individual Quest NPCA0013 Crystal Ball			
Pia	Seal Tower Investigation Team	Seal Tower NPCP0014 Individual Quest Level 25 and below			
Iori	Seal Tower Investigation Team	Seal Tower NPCP0014 Individual Quest Level 26 ~ 30			
Iora	Seal Tower Investigation Team	Seal Tower NPCP0014 Individual Quest Level 31 ~ 35			
